dataset,n_samples,n_features,logistic_regression_accuracy,logistic_regression_roc_auc,logistic_regression_time_s,random_forest_accuracy,random_forest_roc_auc,random_forest_time_s,tabicl_accuracy,tabicl_roc_auc,tabicl_time_s
credit-g,1000,20,0.77,0.8002380952380953,0.01224374771118164,0.79,0.8262499999999999,0.1249079704284668,0.795,0.8446428571428571,4.647944927215576
diabetes,768,8,0.7792207792207793,0.8840740740740741,0.003780841827392578,0.8116883116883117,0.861574074074074,0.10824108123779297,0.7922077922077922,0.8835185185185185,1.728870153427124
blood-transfusion-service-center,748,4,0.7733333333333333,0.7273391812865497,0.0036678314208984375,0.6866666666666666,0.6031920077972709,0.09688019752502441,0.7733333333333333,0.7078460038986355,1.4050021171569824
tic-tac-toe,958,9,0.6875,0.6342686567164179,0.0026559829711914062,0.9635416666666666,1.0,0.09818315505981445,0.9791666666666666,0.999044776119403,2.3927927017211914
breast-w,699,9,0.9785714285714285,0.9981884057971016,0.003663301467895508,0.9642857142857143,0.9921875,0.08380413055419922,0.9642857142857143,0.9961503623188407,1.65071702003479
