dataset,n_samples,n_features,linear_regression_mae,linear_regression_r2,linear_regression_time_s,random_forest_mae,random_forest_r2,random_forest_time_s,tabicl_mae,tabicl_r2,tabicl_time_s
boston,506,13,4.008643074242399,0.5547813388775136,0.013035058975219727,2.6650784313725513,0.7730532617356082,0.18142104148864746,2.320255237467148,0.7960427727283416,63.710243701934814
autoMpg,398,7,2.631879950522819,0.8247689378913919,0.0015230178833007812,1.8560875000000003,0.8916383877760465,0.10184025764465332,1.6262241291999817,0.9240910436211037,1.1739540100097656
machine_cpu,209,6,35.1314133808776,0.8840522163498339,0.001489877700805664,19.11613195534624,0.9444323004295478,0.08029580116271973,18.68285038357689,0.9506063779654731,0.593904972076416
cholesterol,303,13,34.95570811694615,0.06672084455906113,0.0015799999237060547,38.506229508196725,-0.0072940645294254924,0.10456490516662598,35.856087856605406,0.05631715717234642,1.2081379890441895
stock,950,9,1.8982805439082504,0.8315842765813676,0.0015990734100341797,0.6029473684210525,0.9764177291563244,0.2851731777191162,0.4306269394723993,0.9902587102089402,2.9678919315338135
